,産業,年度,企業数,経常利益率<-10%,－10%≦経常利益率<-8%,－8%≦経常利益率<-6%,－6%≦経常利益率<-4%,－4%≦経常利益率<-2%,－2%≦経常利益率<0%,0%≦経常利益率≦2%,2%<経常利益率≦4%,4%<経常利益率≦6%,6%<経常利益率≦8%,8%<経常利益率≦10%,10%<経常利益率,合計
110,物品賃貸業,2018年度,310,107,***,***,260,474,642,10281,20133,36576,24013,6909,16053,115448
111,物品賃貸業,2019年度,302,122,***,***,***,***,1364,16248,19873,36617,15436,11239,17841,118740
112,産業用機械器具賃貸業（レンタルを含む）,2019年度,173,66,***,***,***,***,416,7274,6371,4914,9925,7615,15272,51853
113,事務用機械器具賃貸業（レンタルを含む）,2019年度,24,***,***,***,***,***,***,814,4954,8268,281,401,1086,15804
114,自動車賃貸業（レンタルを除く）,2019年度,59,***,***,***,***,***,948,6479,5356,5133,270,731,732,19649
115,スポーツ・娯楽用品賃貸業（レンタルを含む）,2019年度,5,***,***,***,***,***,***,83,92,***,898,***,***,1073
116,その他の物品賃貸業（レンタルを含む）,2019年度,41,56,***,***,***,***,***,1598,3100,18302,4062,2492,751,30361
117,学術研究、専門・技術サービス業,2015年度,625,848,243,2816,1318,1494,3292,51854,38911,50203,25195,26724,44072,246970
118,学術研究、専門・技術サービス業,2016年度,629,686,166,321,421,553,4497,45232,54356,40362,41682,25192,50425,263893
119,学術研究、専門・技術サービス業,2017年度,581,1037,159,86,764,1092,3480,41511,50502,53486,29688,19439,45506,246750
120,学術研究、専門・技術サービス業,2018年度,578,958,107,330,1009,1403,3432,31748,43961,58777,31560,27072,52754,253111
121,学術研究、専門・技術サービス業,2019年度,554,1971,686,273,678,1141,3733,45419,40710,48300,33166,26417,43539,246033
122,学術・開発研究機関,2019年度,66,793,206,64,***,***,351,18372,1967,9056,706,2896,4860,39271
123,デザイン業,2019年度,8,***,401,68,***,***,***,203,59,123,309,***,138,1301
124,エンジニアリング業,2019年度,148,171,***,***,570,377,***,5015,15999,21692,21077,7921,16355,89177
125,広告業,2019年度,194,897,79,***,***,302,2106,18046,12431,5150,2970,4187,17346,63514
126,機械設計業,2019年度,46,***,***,***,***,97,147,1622,4689,4712,6754,1848,1314,21183
127,商品・非破壊検査業,2019年度,32,***,***,***,108,365,97,***,1131,1973,755,967,2061,7457
128,計量証明業,2019年度,45,***,***,***,***,***,225,1620,4279,1815,595,7059,1465,17058
129,写真業,2019年度,15,110,***,141,***,***,807,541,155,3779,***,1539,***,7072
130,飲食サービス業,2015年度,587,1954,98,664,3654,8478,86127,270294,253638,317710,76511,49109,73371,1141608
131,飲食サービス業,2016年度,592,1318,196,1579,3731,9449,53333,258673,307484,171239,134135,54577,35753,1031467
132,飲食サービス業,2017年度,577,3509,264,2725,2290,20837,45761,248001,190725,287976,180297,18097,28391,1028873
133,飲食サービス業,2018年度,612,2896,1091,1450,8939,21691,55619,254758,152976,244024,149715,68602,29682,991443
134,飲食サービス業,2019年度,570,7028,1676,8462,6348,23780,67073,232228,180575,118923,131872,97287,21700,896952
135,一般飲食店,2019年度,480,6721,1676,8057,6197,22352,41653,180963,155617,90910,81190,96870,20428,712634
136,持ち帰り・配達飲食サービス業,2019年度,90,307,***,405,151,1428,25420,51265,24958,28013,50682,417,1272,184318
137,生活関連サービス業、娯楽業,2015年度,697,4568,287,1273,1968,3127,6464,26567,60123,31729,45438,21054,79825,282423
138,生活関連サービス業、娯楽業,2016年度,678,2047,2324,6983,392,2217,8538,27101,46008,55225,37761,26037,73107,287740
139,生活関連サービス業、娯楽業,2017年度,656,1566,793,1469,1925,1909,6362,33622,50640,42008,47928,26026,81393,295641
140,生活関連サービス業、娯楽業,2018年度,701,2463,202,1223,1385,2803,9423,35949,35768,42127,50513,19336,83858,285050
141,生活関連サービス業、娯楽業,2019年度,691,3441,2155,1712,8263,6793,14775,35138,29536,33406,34657,26640,83027,279543
142,洗濯業,2019年度,154,360,499,240,430,1585,1353,12149,12149,12292,3565,5491,3253,53366
143,その他の洗濯・理容・美容業・浴場業,2019年度,49,842,57,378,2719,897,1946,2116,710,5524,932,2532,203,18856
144,冠婚葬祭業（冠婚葬祭互助会を含む）,2019年度,149,543,335,140,4032,86,1500,8492,7409,8757,4534,5207,14098,55133
145,"写真プリント,現像・焼付業",2019年度,6,***,446,***,***,***,331,***,473,462,***,234,582,2528
146,その他の生活関連サービス業,2019年度,17,381,274,***,396,700,863,287,287,291,125,***,2957,6561
147,映画館,2019年度,10,***,***,***,***,***,462,***,***,1423,6144,***,7769,15798
148,ゴルフ場,2019年度,210,886,544,425,206,839,2048,4986,3764,1756,2516,11930,3813,33713
149,スポーツ施設提供業(注),2019年度,52,262,***,529,69,2478,6120,5118,3127,1098,16095,714,8174,43784
150,公園、遊園地・テーマパーク,2019年度,35,***,***,***,411,208,152,1820,1493,1730,518,532,41608,48472
151,ボウリング場,2019年度,9,167,***,***,***,***,***,170,124,73,228,***,570,1332
152,個人教授所,2015年度,13,***,***,***,***,254,425,3502,547,778,5103,***,615,11224
153,個人教授所,2016年度,14,184,252,***,***,307,128,3379,690,6076,***,***,***,11016
154,個人教授所,2017年度,15,196,***,***,***,1843,463,668,1245,6149,***,665,***,11229
155,個人教授所,2018年度,14,***,***,***,***,2023,***,1831,2286,55,5657,***,***,11852
156,個人教授所,2019年度,14,186,***,***,277,798,54,2555,1119,***,5038,***,170,10197
157,サービス業（＊）,2015年度,1490,1746,419,1950,1241,3472,34993,292497,254458,321935,133305,61182,106384,1213582
158,サービス業（＊）,2016年度,1439,3487,***,305,1470,6156,9802,294097,319008,328095,90134,65186,118272,1236012
159,サービス業（＊）,2017年度,1371,3077,1969,1378,1023,5689,10739,210153,303994,386321,145938,49624,128240,1248145
160,サービス業（＊）,2018年度,1418,1247,577,4389,1915,4803,12793,207440,359778,327712,205996,91069,167753,1385472
161,サービス業（＊）,2019年度,1431,1244,807,1890,1799,9500,22875,206981,306146,396866,135388,73273,154698,1311467
162,廃棄物処理業,2019年度,233,72,112,***,898,438,168,3261,6374,4102,5528,3132,18989,43074
163,機械等修理業,2019年度,255,***,***,1165,58,680,1236,8427,11056,32572,15465,9269,16456,96384
164,職業紹介業,2019年度,21,***,***,97,***,67,***,***,236,133,216,173,10894,11816
165,労働者派遣業,2019年度,398,228,417,60,588,7075,11014,136660,129776,225478,80733,19838,76214,688081
166,ディスプレイ業,2019年度,26,***,***,***,196,97,***,710,519,442,2352,2371,568,7255
167,テレマーケティング業,2019年度,36,***,***,***,***,***,452,4413,20697,51696,747,2692,1326,82023
168,その他の事業サービス業,2019年度,462,944,278,568,59,1143,10005,53510,137488,82443,30347,35798,30251,382834
169,サービス業（その他のサービス業）,2015年度,492,389,587,365,4323,2837,5295,76268,62830,50485,36223,16083,100146,355831
170,サービス業（その他のサービス業）,2016年度,481,1923,1333,155,651,2833,2691,80278,64149,46808,73681,5685,81672,361859
171,サービス業（その他のサービス業）,2017年度,455,518,1223,175,257,1026,6644,57407,60923,32030,26177,33868,94470,314718
172,サービス業（その他のサービス業）,2018年度,473,725,137,300,481,3344,4768,78388,68082,46113,21698,7413,129256,360705
173,サービス業（その他のサービス業）,2019年度,467,8028,6707,4097,4908,2068,3775,64798,54558,34255,26485,4675,124125,338479
174,その他の産業,2015年度,980,1111,84,138,2439,4629,7372,80506,80063,82311,36851,24656,74557,394717
175,その他の産業,2016年度,955,1268,1211,1130,202,3874,4221,62678,83353,90945,42291,26421,83737,401331
176,その他の産業,2017年度,915,333,1425,51,346,1876,5031,80016,73083,59471,37639,27953,89167,376391
177,その他の産業,2018年度,902,5011,745,444,4533,3440,6976,75156,47262,69409,64419,25432,78061,380888
178,その他の産業,2019年度,883,6330,64,123,2970,2398,8859,50386,83269,88627,45636,30939,77598,397199
