,産業,年度,企業数,経常利益率<-10%,－10%≦経常利益率<-8%,－8%≦経常利益率<-6%,－6%≦経常利益率<-4%,－4%≦経常利益率<-2%,－2%≦経常利益率<0%,0%≦経常利益率≦2%,2%<経常利益率≦4%,4%<経常利益率≦6%,6%<経常利益率≦8%,8%<経常利益率≦10%,10%<経常利益率,合計
37,非鉄金属製造業,2020年度,348,1980,679,1176,1160,2616,4594,32536,37842,10634,15007,9409,13196,130829
38,金属製品製造業,2020年度,1101,2414,1079,1320,4061,6662,11616,47665,40062,43894,26463,13619,46057,244912
39,はん用機械器具製造業,2020年度,546,1033,230,182,1964,3303,24995,23181,14003,24962,17036,14707,50934,176530
40,生産用機械器具製造業,2020年度,1025,11518,3331,8265,7150,9454,13663,28274,42200,29567,48706,22096,83925,308149
41,業務用機械器具製造業,2020年度,400,4412,308,3324,2314,3937,4679,29927,56940,26472,12502,18538,83354,246707
42,電子部品・デバイス・電子回路製造業,2020年度,621,7326,3999,2119,3765,4802,11806,41529,53853,39046,17144,28356,109710,323455
43,電気機械器具製造業,2020年度,735,2147,3572,1209,3517,11383,9709,27610,118487,62280,83743,23519,76124,423300
44,情報通信機械器具製造業,2020年度,198,2365,***,464,868,1825,18578,28944,12256,13481,7324,5931,43366,135402
45,輸送用機械器具製造業,2020年度,1337,30623,6345,6862,19566,58047,93863,202561,176545,152714,91147,24248,194333,1056854
46,その他の製造業,2020年度,292,4247,658,2027,2887,6454,5023,10646,11603,10177,6578,8991,12806,82097
47,電気・ガス業,2016年度,136,199,***,***,***,209,5938,34360,18850,94146,12160,1252,7548,174662
48,電気・ガス業,2017年度,137,51,***,***,***,129,5460,21197,55755,68871,4576,2948,12545,171532
49,電気・ガス業,2018年度,138,51,***,***,131,***,3193,32517,66121,49505,1988,4066,12406,169978
50,電気・ガス業,2019年度,141,51,***,***,***,***,433,18387,74458,56321,4058,2038,17312,173058
51,電気・ガス業,2020年度,148,2231,***,***,7752,2452,7704,31137,17747,26319,36826,23145,25529,180842
52,電気業,2020年度,65,272,***,***,7752,2452,7222,28702,2245,21317,28398,22096,24599,145055
53,ガス業,2020年度,83,1959,***,***,***,***,482,2435,15502,5002,8428,1049,930,35787
54,情報通信業,2016年度,2660,6883,1265,2831,3803,8297,14459,216494,138873,212566,118225,127870,220735,1072301
55,情報通信業,2017年度,2581,6173,994,1267,2193,5832,55861,146528,176038,187855,135166,88784,259341,1066032
56,情報通信業,2018年度,2553,8532,1041,1442,6169,5965,15250,163634,196966,181836,141355,87363,287653,1097206
57,情報通信業,2019年度,2460,10414,741,2169,3677,7933,13314,113387,195397,163805,138764,169505,254516,1073622
58,情報通信業,2020年度,2522,17777,2199,3324,3979,21339,13491,111482,151481,197122,154391,134885,325619,1137089
59,ソフトウェア業,2020年度,1450,4610,1589,877,1227,1918,4178,60484,95423,68318,114900,79262,173006,605792
60,情報処理・提供サービス業,2020年度,613,1633,234,425,1418,10799,3782,34863,37441,108587,25372,41130,98137,363821
61,インターネット附随サービス業,2020年度,184,9771,***,201,440,391,642,2510,5317,10816,5021,9271,45948,90328
62,映画・ビデオ制作業（※）,2020年度,96,424,157,753,384,724,1842,6012,2589,2672,1182,1191,2037,19967
63,新聞業,2020年度,79,226,219,885,419,6988,2782,5228,7945,4436,4772,2082,1081,37063
64,出版業,2020年度,100,1113,***,183,91,519,265,2385,2766,2293,3144,1949,5410,20118
65,卸売業,2016年度,5710,8908,3357,3609,6013,14588,46929,645104,396450,199058,85711,49449,87080,1546256
66,卸売業,2017年度,5611,5504,1248,2910,2683,10064,46080,591773,371586,217978,92992,56162,131948,1530928
67,卸売業,2018年度,5539,15232,1224,3358,13915,13276,43706,598187,373149,193348,102022,55785,114547,1527749
68,卸売業,2019年度,5517,8066,2813,5807,12622,24942,46986,600659,379810,171753,120607,55295,103618,1532978
69,卸売業,2020年度,5488,24479,4760,14088,15241,29959,64220,557785,346091,191429,96042,56391,139409,1539894
70,繊維品卸売業,2020年度,50,243,***,***,***,411,224,2779,2440,2362,364,***,364,9187
71,衣服・身の回り品卸売業,2020年度,240,12743,1496,1535,5171,4071,1708,14761,5641,4982,2263,1659,4334,60364
72,農畜産物・水産物卸売業,2020年度,451,148,***,275,377,4641,6501,44047,24941,1466,4382,64,382,87224
73,食料・飲料卸売業,2020年度,565,3599,1391,2555,4070,5133,12334,87567,22139,11545,5855,6402,8722,171312
74,建築材料卸売業,2020年度,470,***,103,***,139,644,2208,35414,23040,7988,12861,1272,2327,85996
75,化学製品卸売業,2020年度,323,***,***,***,***,164,1303,16912,21613,6846,3154,2886,8198,61076
76,石油・鉱物卸売業,2020年度,160,1606,***,***,***,75,560,18331,30262,10802,2096,158,2131,66021
77,鉄鋼製品卸売業,2020年度,259,***,***,5931,***,1020,1193,26257,11478,7895,1334,365,957,56430
78,非鉄金属卸売業,2020年度,62,***,***,***,130,95,152,4002,5967,1127,914,***,94,12481
79,再生資源卸売業,2020年度,78,65,***,***,91,144,340,3143,4591,2555,1954,576,455,13914
80,産業機械器具卸売業,2020年度,483,778,59,242,255,1231,5978,44179,25497,26655,14903,15807,15085,150669
81,自動車卸売業,2020年度,289,97,***,95,67,***,1219,23845,33722,19236,2768,4338,3415,88802
82,電気機械器具卸売業,2020年度,632,1025,***,432,2673,885,9910,61197,57720,42568,16549,7383,24198,224540
83,その他の機械器具卸売業,2020年度,346,604,***,59,164,749,1602,29193,15003,19049,8545,3426,9727,88121
84,家具・建具・じゅう器等卸売業,2020年度,153,399,91,53,169,383,1979,9812,6180,2004,4781,672,1442,27965
85,医薬品・化粧品等卸売業,2020年度,247,903,***,92,414,6287,7381,75757,31324,6969,4209,2956,32505,168797
86,紙、紙製品卸売業,2020年度,88,***,***,***,177,1603,2577,10256,1719,292,163,473,370,17630
87,その他の卸売業,2020年度,592,2269,1620,2819,1344,2423,7051,50333,22814,17088,8947,7954,24703,149365
88,小売業,2016年度,3556,12083,6843,10283,11464,50571,105468,1253882,959511,512821,174378,88022,133765,3319091
89,小売業,2017年度,3503,12314,1655,4829,27221,57847,102790,1378028,879940,498502,213820,55324,148555,3380825
90,小売業,2018年度,3599,9549,892,9989,26497,53426,159105,1407798,787928,580081,173248,63874,161240,3433627
91,小売業,2019年度,3444,7797,4602,8119,27072,63923,322000,1260118,772073,556571,155568,64077,130134,3372054
92,小売業,2020年度,3454,98284,20064,54170,59643,80720,247085,729675,1063591,630019,203000,57361,203590,3447202
93,織物・衣服・身の回り品小売業,2020年度,311,49664,5270,17167,35711,19010,46402,28345,28032,8366,34800,2492,56727,331986
94,飲食料品小売業,2020年度,906,37644,11186,11197,15946,30082,158321,423469,601938,332089,36501,13243,8280,1679896
95,自動車・自転車小売業,2020年度,812,61,***,195,306,4635,12233,96928,118868,40077,7513,642,767,282225
96,機械器具小売業,2020年度,209,***,***,702,260,833,578,14940,39703,49435,15423,2054,11607,135535
97,家具・建具・じゅう器小売業,2020年度,46,1560,***,156,226,179,109,9961,7477,1330,7039,***,30209,58246
98,医薬品・化粧品小売業,2020年度,230,1075,***,1327,736,8439,15894,42799,99080,132203,12363,7500,2446,323862
99,燃料小売業,2020年度,370,***,146,251,***,1321,1135,33589,57278,13305,6666,2889,2558,119138
100,その他の小売業,2020年度,441,8280,3396,23175,6458,14137,10947,66819,60637,41446,78998,20245,84010,418548
101,無店舗小売業,2020年度,129,***,66,***,***,2084,1466,12825,50578,11768,3697,8296,6986,97766
102,クレジットカード業、割賦金融業,2016年度,83,437,***,***,***,5329,***,1009,2555,7502,600,4724,36320,58476
103,クレジットカード業、割賦金融業,2017年度,79,481,***,***,***,140,129,13135,1849,2110,799,4909,32185,55737
104,クレジットカード業、割賦金融業,2018年度,78,***,***,***,***,4638,821,1427,9065,423,1992,9880,27475,55721
105,クレジットカード業、割賦金融業,2019年度,77,307,650,***,349,***,7285,299,5013,1566,3200,1975,36649,57293
106,クレジットカード業、割賦金融業,2020年度,79,979,302,872,***,***,***,7801,6053,1314,1341,8939,31973,59574
107,物品賃貸業,2016年度,313,123,***,1314,72,122,688,11387,18092,22660,23179,9940,16158,103735
108,物品賃貸業,2017年度,306,242,440,975,***,638,710,12614,19374,26687,27180,9572,14282,112714
109,物品賃貸業,2018年度,310,107,***,***,260,474,642,10281,20133,36576,24013,6909,16053,115448
110,物品賃貸業,2019年度,302,122,***,***,***,***,1364,16248,19873,36617,15436,11239,17841,118740
111,物品賃貸業,2020年度,316,3007,153,943,723,826,992,10397,23740,34284,15557,13212,15525,119359
112,産業用機械器具賃貸業（レンタルを含む）,2020年度,177,1156,***,443,***,160,594,3205,13183,6094,6530,12011,10472,53848
113,事務用機械器具賃貸業（レンタルを含む）,2020年度,24,619,***,***,***,***,***,841,4352,4367,1102,***,285,11566
114,自動車賃貸業（レンタルを除く）,2020年度,64,345,***,242,***,283,232,5384,3521,4742,3510,542,1870,20671
115,スポーツ・娯楽用品賃貸業（レンタルを含む）,2020年度,4,***,***,***,723,***,***,73,***,***,62,***,***,858
116,その他の物品賃貸業（レンタルを含む）,2020年度,47,887,153,258,***,383,166,894,2684,19081,4353,659,2898,32416
117,学術研究、専門・技術サービス業,2016年度,629,686,166,321,421,553,4497,45232,54356,40362,41682,25192,50425,263893
118,学術研究、専門・技術サービス業,2017年度,581,1037,159,86,764,1092,3480,41511,50502,53486,29688,19439,45506,246750
119,学術研究、専門・技術サービス業,2018年度,578,958,107,330,1009,1403,3432,31748,43961,58777,31560,27072,52754,253111
120,学術研究、専門・技術サービス業,2019年度,554,1971,686,273,678,1141,3733,45419,40710,48300,33166,26417,43539,246033
121,学術研究、専門・技術サービス業,2020年度,563,3292,900,2610,7913,3007,8749,45126,37584,35157,22926,26261,51181,244706
122,学術・開発研究機関,2020年度,64,181,68,***,98,506,329,8034,1751,3576,2802,962,10463,28770
123,デザイン業,2020年度,9,89,***,71,129,***,***,***,112,***,52,308,307,1068
124,エンジニアリング業,2020年度,148,257,***,595,5414,***,134,8049,19402,18607,11510,12109,15940,92017
125,広告業,2020年度,203,1708,643,196,2029,2118,8059,22975,10160,3689,972,2185,14084,68818
126,機械設計業,2020年度,49,***,79,***,243,299,***,1835,3208,5499,3542,5636,2120,22461
127,商品・非破壊検査業,2020年度,29,368,***,***,***,***,141,498,818,733,714,626,2644,6542
128,計量証明業,2020年度,48,182,***,338,***,***,***,3665,2133,3053,3334,4435,2166,19306
129,写真業,2020年度,13,507,110,1410,***,84,86,70,***,***,***,***,3457,5724
130,飲食サービス業,2016年度,592,1318,196,1579,3731,9449,53333,258673,307484,171239,134135,54577,35753,1031467
131,飲食サービス業,2017年度,577,3509,264,2725,2290,20837,45761,248001,190725,287976,180297,18097,28391,1028873
132,飲食サービス業,2018年度,612,2896,1091,1450,8939,21691,55619,254758,152976,244024,149715,68602,29682,991443
133,飲食サービス業,2019年度,570,7028,1676,8462,6348,23780,67073,232228,180575,118923,131872,97287,21700,896952
134,飲食サービス業,2020年度,574,146103,24862,20099,35694,62854,38508,192897,100430,82357,15493,76415,20812,816524
135,一般飲食店,2020年度,477,140674,23457,19092,32923,56410,34053,151197,63320,78098,13962,22299,19292,654777
136,持ち帰り・配達飲食サービス業,2020年度,97,5429,1405,1007,2771,6444,4455,41700,37110,4259,1531,54116,1520,161747
137,生活関連サービス業、娯楽業,2016年度,678,2047,2324,6983,392,2217,8538,27101,46008,55225,37761,26037,73107,287740
138,生活関連サービス業、娯楽業,2017年度,656,1566,793,1469,1925,1909,6362,33622,50640,42008,47928,26026,81393,295641
139,生活関連サービス業、娯楽業,2018年度,701,2463,202,1223,1385,2803,9423,35949,35768,42127,50513,19336,83858,285050
140,生活関連サービス業、娯楽業,2019年度,691,3441,2155,1712,8263,6793,14775,35138,29536,33406,34657,26640,83027,279543
141,生活関連サービス業、娯楽業,2020年度,703,100364,11612,8040,9095,14466,15608,23949,27387,21027,7062,19781,16107,274498
142,洗濯業,2020年度,157,7092,6646,394,2012,5480,3173,7930,6492,7631,2681,5416,1245,56192
143,その他の洗濯・理容・美容業・浴場業,2020年度,55,4593,1656,269,1053,3109,871,1405,4734,1927,1560,99,***,21276
144,冠婚葬祭業（冠婚葬祭互助会を含む）,2020年度,144,20111,1245,2594,2535,678,2032,5487,3590,3725,1316,2672,7642,53627
145,"写真プリント,現像・焼付業",2020年度,7,746,***,***,***,***,66,943,***,***,***,625,***,2380
146,その他の生活関連サービス業,2020年度,17,1780,***,***,741,533,***,2693,***,170,***,***,2613,8530
147,映画館,2020年度,9,7086,***,891,***,131,5362,***,***,***,***,***,***,13470
148,ゴルフ場,2020年度,222,4119,780,1062,2087,2772,1810,2618,1908,3429,1271,9906,3924,35686
149,スポーツ施設提供業（809に該当するものを除く）,2020年度,53,17852,1285,2739,243,525,1253,2618,10202,3918,114,862,255,41866
150,公園、遊園地・テーマパーク,2020年度,34,36181,***,91,424,1106,1041,255,461,227,120,201,428,40535
151,ボウリング場,2020年度,5,804,***,***,***,132,***,***,***,***,***,***,***,936
152,個人教授所,2016年度,14,184,252,***,***,307,128,3379,690,6076,***,***,***,11016
153,個人教授所,2017年度,15,196,***,***,***,1843,463,668,1245,6149,***,665,***,11229
154,個人教授所,2018年度,14,***,***,***,***,2023,***,1831,2286,55,5657,***,***,11852
155,個人教授所,2019年度,14,186,***,***,277,798,54,2555,1119,***,5038,***,170,10197
156,個人教授所,2020年度,14,2857,130,***,640,***,75,85,5216,264,***,***,197,9464
157,サービス業（その他のサービス業を除く）,2016年度,1439,3487,***,305,1470,6156,9802,294097,319008,328095,90134,65186,118272,1236012
158,サービス業（その他のサービス業を除く）,2017年度,1371,3077,1969,1378,1023,5689,10739,210153,303994,386321,145938,49624,128240,1248145
159,サービス業（その他のサービス業を除く）,2018年度,1418,1247,577,4389,1915,4803,12793,207440,359778,327712,205996,91069,167753,1385472
160,サービス業（その他のサービス業を除く）,2019年度,1431,1244,807,1890,1799,9500,22875,206981,306146,396866,135388,73273,154698,1311467
161,サービス業（その他のサービス業を除く）,2020年度,1476,14704,1363,2819,6980,11956,19722,165768,209530,447975,233100,118385,144520,1376822
162,廃棄物処理業,2020年度,231,***,***,123,167,312,110,2659,5600,4394,5541,5384,19200,43490
163,機械等修理業,2020年度,260,179,***,185,***,664,2841,12609,13647,27905,20461,15228,18511,112230
164,職業紹介業,2020年度,26,605,296,162,***,***,109,86,9982,249,72,***,4876,16437
165,労働者派遣業,2020年度,414,4631,219,972,5613,8864,9290,91111,119564,241585,136760,38868,50741,708218
166,ディスプレイ業,2020年度,31,530,***,219,486,215,98,852,412,3770,***,1348,498,8428
167,テレマーケティング業,2020年度,37,***,191,***,***,***,***,6280,7085,44511,14304,20908,11087,104366
168,その他の事業サービス業,2020年度,477,8759,657,1158,714,1901,7274,52171,53240,125561,55962,36649,39607,383653
169,サービス業（その他のサービス業）,2016年度,481,1923,1333,155,651,2833,2691,80278,64149,46808,73681,5685,81672,361859
170,サービス業（その他のサービス業）,2017年度,455,518,1223,175,257,1026,6644,57407,60923,32030,26177,33868,94470,314718
171,サービス業（その他のサービス業）,2018年度,473,725,137,300,481,3344,4768,78388,68082,46113,21698,7413,129256,360705
172,サービス業（その他のサービス業）,2019年度,467,8028,6707,4097,4908,2068,3775,64798,54558,34255,26485,4675,124125,338479
173,サービス業（その他のサービス業）,2020年度,474,60144,3328,7533,1989,4210,3643,53010,32539,33950,14685,18797,91427,325255
174,その他の産業,2016年度,955,1268,1211,1130,202,3874,4221,62678,83353,90945,42291,26421,83737,401331
175,その他の産業,2017年度,915,333,1425,51,346,1876,5031,80016,73083,59471,37639,27953,89167,376391
176,その他の産業,2018年度,902,5011,745,444,4533,3440,6976,75156,47262,69409,64419,25432,78061,380888
177,その他の産業,2019年度,883,6330,64,123,2970,2398,8859,50386,83269,88627,45636,30939,77598,397199
178,その他の産業,2020年度,956,16987,2562,2197,5495,12376,12602,72430,65294,88273,54698,37243,77654,447811
