産業__産業分類名称_総合計,__時間軸コード_2015100000,列見出し4_列見出し5_単位（列）_年度_2015年度,_社_8527,_百万円_356508776,_百万円_14504871,_百万円_12079769,_百万円_2425102,うち、関係会社への委託_国内_百万円_961675,うち、関係会社への委託_海外_百万円_462589,_％_4.07,_百万円_1156934,国内_百万円_89187,海外_百万円_16646,_社_1924,_百万円_644839,_社_8971,_百万円_212407
計量器・測定器等（注）,2019100000,2019年度,100,1259416,78086,70584,7502,150,218,6.2,4254,671,1485,21,2282,47,887
医療用機械器具・医療用品製造業,2019100000,2019年度,73,2446215,256118,214017,42101,6714,8142,10.47,4332,3458,***,30,9273,45,1237
光学機械器具・レンズ製造業,2019100000,2019年度,31,627097,81804,73327,8477,26,***,13.04,198,***,***,5,,18,
武器製造業,2019100000,2019年度,4,984704,31755,31755,***,***,***,3.22,33046,***,***,1,,1,
電子部品・デバイス・電子回路製造業,2019100000,2019年度,288,12051424,717092,693962,23130,12101,1815,5.95,11878,7763,***,82,44068,187,3732
電気機械器具製造業,2019100000,2019年度,422,17348453,1037758,968213,69545,6968,13405,5.98,22579,10944,***,82,23960,262,9616
産業用電気機械器具製造業,2019100000,2019年度,209,7777585,401762,379824,21938,1846,5078,5.17,8916,2773,***,37,1969,154,7395
民生用電気機械器具製造業,2019100000,2019年度,49,6121782,373645,366494,7151,3479,5,6.1,2978,***,***,8,9709,30,493
電子応用装置製造業,2019100000,2019年度,31,703651,78251,64043,14208,778,8312,11.12,369,***,***,8,2498,14,281
その他の電気機械器具製造業,2019100000,2019年度,133,2745435,184100,157852,26248,865,10,6.71,10316,8171,***,29,9784,64,1447
情報通信機械器具製造業,2019100000,2019年度,133,6345827,399107,358328,40779,3974,9479,6.29,39636,34012,13,29,17101,88,8695
通信機械器具・同関連機械器具製造業,2019100000,2019年度,100,2811088,198447,176316,22131,3754,1323,7.06,37642,33970,13,19,2738,65,1301
電子計算機・同附属装置製造業,2019100000,2019年度,33,3534739,200660,182012,18648,220,8156,5.68,1994,42,***,10,14363,23,7394
輸送用機械器具製造業,2019100000,2019年度,529,65311822,4807918,3359472,1448446,332045,205223,7.36,78538,3677,3121,128,118529,434,16281
自動車・同附属品製造業,2019100000,2019年度,404,59464449,4609141,3174584,1434557,331061,204867,7.75,71422,3514,3121,109,110197,336,14040
その他の輸送用機械器具製造業,2019100000,2019年度,125,5847373,198777,184888,13889,984,356,3.4,7116,163,***,19,8332,98,2241
その他の製造業,2019100000,2019年度,163,3256920,171629,103579,68050,12181,16167,5.27,589,52,6,28,1516,86,
電気・ガス業,2019100000,2019年度,36,22975505,131926,51783,80143,8418,***,0.57,8890,***,***,15,3578,81,12954
電気業,2019100000,2019年度,23,19037277,116239,38008,78231,8418,***,0.61,8879,***,***,9,2100,33,10140
ガス業,2019100000,2019年度,13,3938228,15687,13775,1912,***,***,0.4,11,***,***,6,1478,48,2814
情報通信業,2019100000,2019年度,609,17976591,719844,554775,165069,8186,107952,4,47136,25881,578,35,11641,1121,35711
ソフトウェア業,2019100000,2019年度,437,12330131,460076,407227,52849,7521,18048,3.73,40475,25484,578,25,9930,707,24931
情報処理・提供サービス業,2019100000,2019年度,98,3296714,25951,24319,1632,210,3,0.79,6541,397,***,7,288,277,8149
インターネット附随サービス業,2019100000,2019年度,51,1873022,232375,121911,110464,417,89901,12.41,106,***,***,2,,68,1327
映画・ビデオ制作業（※）,2019100000,2019年度,10,125219,434,424,10,10,***,0.35,***,***,***,***,***,20,340
新聞業,2019100000,2019年度,3,139012,378,365,13,***,***,0.27,***,***,***,1,,20,694
出版業,2019100000,2019年度,10,212493,630,529,101,28,***,0.3,14,***,***,***,***,29,270
卸売業,2019100000,2019年度,995,74233490,1396154,1052732,343422,17101,98696,1.88,67864,1999,35267,148,36123,1556,25472
繊維品卸売業,2019100000,2019年度,19,656430,1954,1291,663,20,3,0.3,49,***,***,***,***,11,335
衣服・身の回り品卸売業,2019100000,2019年度,48,775408,3876,3233,643,567,***,0.5,***,***,***,4,29,45,437
農畜産物・水産物卸売業,2019100000,2019年度,35,2915723,3925,3838,87,***,***,0.13,3,***,***,3,584,84,1101
食料・飲料卸売業,2019100000,2019年度,94,8620710,33696,28385,5311,2215,85,0.39,***,***,***,13,2050,136,3211
建築材料卸売業,2019100000,2019年度,63,1736639,28176,27909,267,133,***,1.62,21,18,***,5,2004,100,529
化学製品卸売業,2019100000,2019年度,86,2903618,27207,22344,4863,2538,425,0.94,2043,1206,***,23,888,107,3126
石油・鉱物卸売業,2019100000,2019年度,18,14068718,13802,12092,1710,***,***,0.1,2614,***,***,4,70,55,1031
鉄鋼製品卸売業,2019100000,2019年度,28,4166897,653,448,205,43,***,0.02,***,***,***,2,,60,1622
非鉄金属卸売業,2019100000,2019年度,18,4938991,10049,9667,382,301,***,0.2,134,113,***,5,1419,24,708
再生資源卸売業,2019100000,2019年度,4,47203,148,118,30,19,***,0.31,9,***,***,2,,18,83
産業機械器具卸売業,2019100000,2019年度,95,3193957,189014,184220,4794,1094,49,5.92,741,***,***,16,12548,146,2026
自動車卸売業,2019100000,2019年度,25,1856103,73389,67140,6249,1300,1390,3.95,***,***,***,4,1015,118,1664
電気機械器具卸売業,2019100000,2019年度,133,7694667,353406,292414,60992,628,29088,4.59,53210,657,28054,27,5757,222,3404
その他の機械器具卸売業,2019100000,2019年度,71,1511314,46534,45047,1487,13,832,3.08,772,***,691,12,2333,117,1183
家具・建具・じゅう器等卸売業,2019100000,2019年度,37,614511,1816,1066,750,399,***,0.3,150,***,***,***,***,37,279
医薬品・化粧品等卸売業,2019100000,2019年度,66,7107237,537445,314067,223378,7501,66352,7.56,1373,***,***,13,6187,101,2924
紙、紙製品卸売業,2019100000,2019年度,8,408666,3198,3195,3,***,***,0.78,***,***,***,***,***,24,140
その他の卸売業,2019100000,2019年度,147,11016698,67866,36258,31608,330,472,0.62,6745,5,6522,15,1178,151,1669
小売業,2019100000,2019年度,144,3287923,21744,18017,3727,1514,***,0.66,67,2,***,11,2564,990,27784
織物・衣服・身の回り品小売業,2019100000,2019年度,15,294404,1430,1358,72,20,***,0.49,***,***,***,2,,71,1477
飲食料品小売業,2019100000,2019年度,53,934122,1365,1305,60,38,***,0.15,2,2,***,3,1025,210,5893
自動車・自転車小売業,2019100000,2019年度,5,103277,320,260,60,***,***,0.31,15,***,***,1,,307,3922
機械器具小売業,2019100000,2019年度,8,175480,973,837,136,116,***,0.55,***,***,***,1,,60,10504
家具・建具・じゅう器小売業,2019100000,2019年度,4,105830,2345,2344,1,1,***,2.22,***,***,***,***,***,10,108
