産業__7755_7809,__381433333_388068055,計__12511047_12527980,自社研究開発費（百万円）__10564866_10730376,委託研究開発費（百万円）__1946181_1797604,委託研究開発費（百万円）_うち、関係会社への委託_国内（百万円）_-_-,委託研究開発費（百万円）_うち、関係会社への委託_海外（百万円）_-_-,__3.28_3.23,__431795_403713,_うち、関係会社からの受託_国内（百万円）_-_-,_うち、関係会社からの受託_海外（百万円）_-_-,__2465_2293,__885842_822587,__-_-,__-_-
399,44498078,2772175,1981874,790301,609888,47268,6.23,71600,15525,13,103,70543,304,12369
113,4394934,110728,104621,6107,534,2,2.52,2097,122,,20,7509,77,1447
206,3906901,124729,89170,35559,4973,8738,3.19,1547,43,,40,2350,88,
35,19739864,152429,64961,87468,3769,,0.77,12395,,,16,12879,66,20568
19,16528630,128902,43616,85286,3769,,0.78,11605,,,11,10522,25,17607
16,3211234,23527,21345,2182,,,0.73,790,,,5,2357,41,2961
476,9848477,237585,209549,28036,988,2206,2.41,33627,2675,8352,36,5571,870,24924
344,5296589,196524,175951,20573,271,2131,3.71,24696,11,8352,27,5415,532,14875
87,3538810,32629,27226,5403,217,,0.92,6267,,,8,,230,8897
28,636185,6288,5240,1048,500,75,0.99,2664,2664,,1,,47,697
4,45572,377,377,,,,0.83,,,,,,17,73
3,251077,92,70,22,,,0.04,,,,,,15,172
10,80244,1675,685,990,,,2.09,,,,,,29,210
915,47947308,569292,512471,56821,7372,2173,1.19,8431,1317,1187,132,30352,1311,19354
18,360701,709,375,334,24,,0.2,,,,,,16,67
59,764780,5512,4924,588,10,,0.72,15,,,4,69,57,535
34,1510150,2574,2540,34,26,,0.17,51,,,6,34,67,380
87,2578596,17474,14953,2521,216,,0.68,,,,12,2154,140,1698
66,2528629,33095,31500,1595,19,,1.31,58,58,,7,79,85,867
92,2878555,29920,27456,2464,1466,,1.04,813,605,,21,959,93,738
17,16633549,16574,10984,5590,25,26,0.1,400,,,4,64,54,2691
19,767500,574,543,31,,,0.07,2,,,1,,57,1410
12,3633231,2341,1415,926,558,,0.06,,,,,,12,570
4,61487,87,81,6,,,0.14,,,,,,9,53
93,1947083,52220,44447,7773,440,47,2.68,157,,,11,472,116,3414
27,1587591,26404,24334,2070,68,,1.66,299,,,7,1803,86,932
107,5879117,281126,259758,21368,1701,615,4.78,2033,654,1187,21,23490,167,1931
55,864337,10218,6501,3717,141,4,1.18,346,,,4,62,98,926
40,542330,1632,1579,53,,,0.3,,,,1,,26,102
51,3012716,40206,34430,5776,2249,1207,1.33,3968,,,16,688,72,1978
12,191951,266,257,9,,,0.14,,,,,,28,121
122,2205005,48360,46394,1966,429,274,2.19,289,,,17,,128,941
145,4142761,12128,8653,3475,793,2114,0.29,430,394,,8,147,886,10931
23,1175778,4349,2018,2331,114,2114,0.37,,,,,,76,1042
53,888124,1831,1759,72,27,,0.21,19,,,2,,207,3686
1,,,,,,,,,,,,,246,1933
7,576935,227,223,4,,,0.04,136,136,,,,51,389
4,29055,131,128,3,,,0.45,,,,,,9,35
18,467679,3855,3135,720,422,,0.82,275,258,,3,53,62,629
5,427815,61,58,3,,,0.01,,,,,,101,770
22,,,,64,53,,,,,,2,,105,1920
12,383076,1065,787,278,177,,0.28,,,,1,,29,527
3,223226,364,361,3,,,0.16,,,,,,33,655
10,90023,203,202,1,,,0.23,,,,2,,73,491
8,,,,1,,,,,,,2,,28,191
,,,,,,,,,,,,,12,103
,,,,,,,,,,,,,25,151
1,,,,,,,,,,,,,,
1,,,,,,,,,,,,,8,46
136,3826798,91185,82896,8289,1358,546,2.38,594435,81455,65456,40,7067,243,3048
31,168275,65136,58947,6189,1214,,38.71,572574,69689,63963,16,5098,36,505
1,,,,,,,,,,,,,,
59,1759459,17612,16496,1116,96,,1,5333,940,1493,17,1626,88,1329
11,1687350,1893,1602,291,2,,0.11,,,,2,,64,716
13,91182,5172,4508,664,20,546,5.67,10811,8506,,2,,25,295
